Kingdom,Phylum,Class,Order,Family,Genus,OBER.Mn.JE1,OBER.Mn.JE2,OBER.Mn.JE3,OBER.Mn.JE4,OBER.Mn.JO1,OBER.Mn.JO2,OBER.Mn.SE1,OBER.Mn.SE2,OBER.Mn.SE3,OBER.Mn.SE4,OBER.Mn.SE5,OBER.Mn.SE6,OBER.Mn.SO1
Bacteria,Proteobacteria,Alphaproteobacteria,Class_Alphaproteobacteria,Class_Alphaproteobacteria,Class_Alphaproteobacteria,0.64,0.7,0.7,0.64,0.27,0.27,0.47,0.7,0.6,0.67,0.47,0.37,0.34
Bacteria,Chloroflexi,Anaerolineae,Caldilineales,Caldilineaceae,Family_Caldilineaceae,0.37,0.37,0.37,0.4,0.23,0.2,0.5,0.23,0.7,0.97,0.94,0.81,0.61
Bacteria,Proteobacteria,Alphaproteobacteria,Caulobacterales,Parvularculaceae,Amphiplicatus,0.07,0.07,0.1,0.17,0.07,0.03,0.57,1.1,1.54,1.08,0.84,0.98,0.03
Bacteria,Actinobacteria,Actinobacteria,Corynebacteriales,Mycobacteriaceae,Mycobacterium,0.37,0.44,0.33,0.3,0.27,0.24,0.53,1,0.67,0.5,0.61,0.57,0.54
Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Rhizobiaceae,Aminobacter,0.71,0.84,0.87,0.84,0.3,0.3,0.33,0.2,0.34,0.37,0.44,0.37,0.34
Bacteria,Proteobacteria,Deltaproteobacteria,Desulfarculales,Desulfarculaceae,Family_Desulfarculaceae,0.3,0.37,0.54,0.37,0.13,0.1,0.47,0.94,0.84,0.81,0.67,0.57,0.1
Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Xanthobacteraceae,Afipia,0.54,0.6,0.54,0.57,0.1,0.07,0.9,1.04,0.1,0.1,0.81,0.57,0.1
Bacteria,Proteobacteria,Alphaproteobacteria,Caulobacterales,Hyphomonadaceae,Hirschia,0.34,0.37,0.27,0.3,1.04,0.87,0.47,0.33,0.64,0.5,0.37,0.3,0.2
Bacteria,Proteobacteria,Gammaproteobacteria,Betaproteobacteriales,Burkholderiaceae,Variovorax,0.27,0.27,0.27,0.23,0.27,0.24,0.6,0.67,0.67,0.57,0.54,0.47,0.87
Bacteria,Actinobacteria,Thermoleophilia,Gaiellales,Order_Gaiellales,Order_Gaiellales,0.71,0.81,0.64,0.57,0,0.03,0.43,0.77,0.5,0.4,0.4,0.47,0.13
Bacteria,Proteobacteria,Alphaproteobacteria,Sphingomonadales,Sphingomonadaceae,Sphingorhabdus,0.24,0.27,0.23,0.27,1.21,1.11,0.43,0.27,0.23,0.3,0.4,0.37,0.44
